,Name,Distance,Mass,Radius,Gravity
1,Sun,0.000015813,1,1,274.10478078144416
2,Sirius,8.6,21,171,0.1968537463291381
3,Canopus,310,15,71,0.8156262074432974
4,2MASS J02103857-3015313,101,15,153,0.1756406387168039
5,2MASS J04390101-2353083,29.5,48,097,1.3983451458719651
6,2MASS J04433764+0002040,82,22,178,0.19032651108419935
7,2MASS J04455387-3048204,42,64,100,1.7542705970012429
8,2MASS J04510093-3402150,69,104,72,5.4990156638252685
9,2MASS J05002100+0330501,44,64,100,1.7542705970012429
10,2MASS J05012406-0010452,64,21,138,0.3022579498220084
11,2MASS J05160945-0445499,73,47,097,1.3692129553329657
12,2MASS J0523−1403,40,68,101,1.8271860693204787
13,SDSS J053951.99-005902.0,41.62,61,101,1.6390933857139591
14,LSR 0602+3910,34.6,28,141,0.3860436528283505
15,2MASS J06085283-2753583,102,38,151,0.4568212652819998
16,2MASS J06244595-4521548,39,56,099,1.5661532214836114
17,2MASS J06411840-4322329,65,67,101,1.8003156859481184
18,DENIS-P J0652197-253450,51,75,105,1.8646583726628854
19,2MASS J07075327-4900503,60,72,103,1.8602643242778754
20,UGPS J072227.51-054031.2,13.4,26,098,0.7420579238148217
21,2MASSI J0727182+171001,29.6,41,094,1.2718759633362617
22,2MASS J07290002-3954043,25.8,37,094,1.1477905034985778
23,SDSS J074201.41+205520.5,49,43,094,1.333918693255104
24,DENIS-P J0751164-253043,55,71,103,1.8344273197740162
25,2MASS J07522390+1612157,60,201,68,11.915021828951184
26,DENIS J081730.0-615520,16.1,44,094,1.364940058214525
27,2MASS J08251968+2115521,35,52,098,1.4841158476296434
28,SDSSp J083008.12+482847.4,43,48,099,1.3424170469859524
29,LHS 2021,55,88,115,1.8239108286402332
30,SDSS J083048.80+012831.1,77,46,096,1.368144522129604
31,2MASSI J0835425-081923,23.53,62,100,1.6994496408449538
32,2MASSI J0847287-153237,43,64,100,1.7542705970012429
33,2MASS J08533619-0329321,27.6,77,107,1.8434857297730112
34,2MASSI J0859254-194926,50,50,098,1.4270344688746572
35,2MASSI J0937347+293142,20.0,42,094,1.3028973282956828
36,2MASS 0939−2448,17.4,32,095,0.9718950675907162
37,2MASS J09490860-1545485,59,49,096,1.4573713387902305
38,2MASS J10073369-4555147,46,44,094,1.364940058214525
39,2MASSI J1010148-040649,55,51,098,1.4555751582521503
40,2MASS J10224821+5825453,60,27,141,0.3722563795130523
41,2MASSW J1036530-344138,53,49,097,1.4274773364109645
42,2MASS J1047538+212423,34.4,42,094,1.3028973282956828
43,DEN 1048-3956,13.15,77,107,1.8434857297730112
44,Luhman 16,6.516,43,102,1.1328821197233852
45,Luhman 16,6.516,40,101,1.0748153348943992
46,DENIS-P J1058.7−1548,49,64,100,1.7542705970012429
47,TWA 28,180,36,239,0.17275208956656904
48,Cha 110913-773444,163,8,18,6.768019278554178
49,SDSS J111010.01+011613.1,63,9,124,0.16044114379767152
50,2MASS J11145133−2618235,18.2,33,096,0.98149498326689
51,TWA 26,137,30,220,0.1698996575091596
52,2MASS J11544223-3400390,129,37,150,0.45075008395170824
53,2MASSW J1155395-372735,31,64,100,1.7542705970012429
54,2MASS J12074836-3900043,217,17,171,0.1593577946473975
55,2MASSI J1217110-031113,36,42,094,1.3028973282956828
56,2M 1237+6526,45.6,41,094,1.2718759633362617
57,TWA 29,262,200,25,87.71352985006214
