Unnamed: 0,Name,Distance,Mass,Radius,Gravity
62,SDSSp J132629.82-003831.5,65.0,51,97,1.4857417174889629
63,SDSSp J134646.45-003150.4,48.0,44,94,1.364940058214525
64,2MASS J13595510-4034582,51.0,63,100,1.7268601189230983
65,ULAS J141623.94+134836.3,29.7,32,96,0.9517527110466812
67,DENIS-P J142527.97-365023.4,38.0,21,132,0.3303604451566992
68,LHS 2924,38.5,76,106,1.854037321056404
69,2MASS J14392837+1929150,47.0,72,103,1.8602643242778756
70,LSPM J1440+1339,72.0,92,119,1.780781006418534
71,2MASS J14482563+1031590,47.0,59,99,1.6500542869202333
73,CFBDSIR 1458+10,104.0,9,13,14.597296017946729
74,TVLM 513-46546,35.1,75,105,1.8646583726628851
75,2MASS 1503+2525,20.7,44,94,1.364940058214525
76,CFBDS J150411+102717,71.0,44,94,1.364940058214525
77,2MASSW J1506544+132106,46.0,69,102,1.8178806107189205
78,2MASS 1507−1627,23.9,60,99,1.6780213087324407
79,TVLM 868-110639,53.0,79,108,1.8565052882145137
80,2MASSW J1515008+484742,34.0,57,99,1.5941202432958186
81,2MASSI J1526140+204341,67.0,54,98,1.54119722638463
82,DENIS-P J153941.96-052042.4,51.0,63,100,1.7268601189230983
83,2MASS J15462718-3325111,37.0,44,94,1.364940058214525
84,2MASSW J1552591+294849,68.0,30,143,0.4021293668855848
85,2MASSW J1555157-095605,44.0,71,103,1.834427319774016
86,2MASS J16150413+1340079,48.0,42,94,1.3028973282956828
87,SDSSp J162414.37+002915.6,36.0,43,94,1.333918693255104
89,2MASSW J1632291+190441,50.0,49,97,1.4274773364109643
90,WISEPA J164715.59+563208.2,28.0,41,94,1.2718759633362615
91,LSPM J1658+7027,60.0,73,104,1.8500045300522765
93,SDSSp J175032.96+175903.9,90.0,47,97,1.3692129553329655
94,2MASS J18283572-4849046,39.0,45,95,1.3667274387994448
95,LSR J1835+3259,18.5,77,107,1.8434857297730112
97,2MASS J18432213+4040209,46.0,96,122,1.7679426871149315
99,SDSS J204749.61-071818.3,65.0,46,96,1.368144522129604
100,2MASSI J2057540-025230,47.0,70,102,1.8442267065264408
101,2MASSI J2104149-103736,62.0,69,102,1.8178806107189205
102,PSO J318.5−22,80.0,65,153,0.7611094344394836
104,2MASS J21392676+0220226,32.1,46,96,1.368144522129604
105,2MASS J21481628+4003593,26.3,55,99,1.538186199671404
106,2MASSW J2206450-421721,93.0,22,133,0.3409070709023558
108,2MASSW J2224438-015852,38.0,61,99,1.7059883305446482
109,2MASS J22282889-4310262,35.0,42,94,1.3028973282956828
110,2MASS J22373255+3922398,64.0,73,104,1.8500045300522765
111,2MASSW J2244316+204343,56.0,12,129,0.1976598383136428
112,2MASS J23224684-3133231,56.0,24,139,0.34048520981081
114,2MASS J23515044-2537367,67.0,88,116,1.7925996365017156
115,2MASSI J2356547-155310,74.0,80,109,1.8456680803396628
116,WISE 0410+1502,20.0,6,117,0.1201423540571747
117,WISE 0458+6434,35.9,15,42,2.330822965828607
118,WISE 0458+6434,35.9,10,38,1.8982325538881173
119,WISE 1405+5534,25.3,30,86,1.1118365905142409
